"","summary"
"29","03/10/2003: A car bomb exploded This incident occurred on a road near Kandahar, Afghanistan, killing three tribal councilors and injuring five. Authorities blamed the Taliban and Al-Qaida for the attack."
"30","03/13/2003: A bomb exploded This incident occurred on a road that was undergoing repairs in Kandahar, Afghanistan, causing no injuries or damage. No one claimed responsibility, but police blamed Al-Qaida and the Taliban."
"31","03/15/2003: A bomb exploded at the governor's home in Jalalabad, Afghanistan, shattering windows and damaging the southern wall, but injuring no one. Police suspected Al-Qaida and the Taliban."
"32","03/18/2003: A bomb exploded at the home of senior government official Malik Mohammed Nazeer in Jalalabad, Afghanistan, causing no injuries, but slightly damaging his house. Bombs were planted on the roof of Nazeer's home and police defused at least one other bomb before it exploded. Authorities suspected al-Qaida and the Taliban."
"33","03/20/2003: A bomb, hidden in a drainage ditch, exploded in Kandahar, Afghanistan, injuring no one. Police found and defused a second bomb, blaming al-Qaida and the Taliban for both bombs."
"34","05/12/2003: In a series of nearly simultaneous attacks, suicide bombers blew themselves in a truck loaded with explosives in the compound of Al-Jadawel, one of the newest luxury estates in Riyadh, Saudi Arabia. At least two persons were killed in the incident. Al-Qaida was suspected responsible for the incident. This was one of three attacks, involving at least nine suicide bombers and suspected to have involved nineteen perpetrators overall."
"35","05/12/2003: In a series of nearly simultaneous attacks, suicide bombers blew themselves in a truck loaded with explosives in the compound of Al-Hamra, one of newest luxury estates in Riyadh, Saudi Arabia. At least ten persons were killed in the incident. Al-Qaida was suspected responsible for the incident. This was one of three attacks, involving at least nine suicide bombers and suspected to have involved nineteen perpetrators overall."
"36","05/12/2003: In a series of nearly simultaneous attacks, suicide bombers blew themselves in a truck loaded with explosives in a complex housing staff working for US defense firm Vinnell in Riyadh, Saudi Arabia. At least eight Americans were killed in the incident. Al-Qaida was suspected responsible for the incident. This was one of three attacks, involving at least nine suicide bombers and suspected to have involved nineteen perpetrators overall."
"37","05/12/2003: A bomb exploded at the Saudi Maintenance Company (Siyanco) headquarters in Riyadh, Saudi Arabia. It was suspected that the blast was related to three bombings at housing complexes on this day, which were suspected to have been perpetrated by al-Qaida. No one was injured in this attack."
"38","06/07/2003: An explosives-packed taxi rammed into a bus carrying German peacekeepers near Kabul in Afghanistan, setting off a thunderous blast that killed 6 people, including 4 soldiers, and wounded 29 others in the first deadly suicide attack against international peacekeepers in Afghanistan. No group claimed responsibility."
"39","08/13/2003: Suspected Taliban and Al-Qaida members bombed a minibus in Lashkar Gah, Afghanistan. Seventeen people were killed in the bombing, including six children. Three others were also injured in the attack. Afghan authorities believed that the bomb was concealed on the bus. No group claimed responsibility for the bombing."
"40","09/23/2003: Militants in Saudi Arabia attacked a hospital and subsequently engaged in a shootout with police. Hostages were taken but later freed. As many as four militants were killed as well as one policeman. Al Qaida members were suspected."
"41","10/12/2003: A car bomb exploded near the Baghdad Hotel which was used by members of the Iraqi Governing Council and Americans in Baghdad, Iraq. A suicide attacker drove the car past a security checkpoint before stopping and detonating the bomb. Six people were killed and 35 others were wounded. Al Qaida in Iraq claimed responsibility for the attack in a statement issued to the press that referenced Abu Hafs al-Masri Brigades."
"42","11/01/2003: Suspected Al-Qaida gunmen kidnapped Turkish highway engineer Hassan Onal, along with his driver, in Afghanistan. They threatened to kill him unless six Taliban inmates were freed. The outcome of the kidnapping was unknown."
"43","11/08/2003: Al-Qaida members launched an armed intrusion and then detonated three bombs in the Muhaya residential housing compound in Riyadh, Saudi Arabia, killing at least 17 people and wounding 122 people, including at least one American. Saudi Arabian officials classified the incident as a suicide car bombing. Al-Qaida later claimed responsibility for the attack via an email to Al-Majalla magazine."
"44","11/20/2003: 15 people were killed and several hundred injured in an explosion at the British Consulate in Istanbul, Turkey. The explosion had an ammonium nitrate base. Authorities believe the assailants were linked to Al-Qaida and one was killed in the explosion."
"45","11/20/2003: 15 people were killed and several hundred injured in an explosion an HSBC Bank in Istanbul, Turkey. The explosion had an ammonium nitrate base. Authorities believe the assailants were linked to Al-Qaida and one was killed in the explosion."
"46","12/25/2003: Three suicide bombers attempted to ram Pakistani President Perves Musharraf's motorcade with vehicles loaded with 45-60 pounds of explosives, in Rawalpindi, Pakistan, killing fifteen and injuring forty-six bystanders, but missing the President. Pakistani authorities blamed foreign actors affiliated with Al-Qaida."
"47","03/11/2004: At 7:37 a.m. local time three bombs exploded inside the third, fourth, and sixth cars of a train inside Atocha Station, killing at least 34 people and wounding many more. The attack was a part of a series of ten bombs that exploded on trains on Madrid's commuter line during the morning rush hour, killing 191 people and wounding more than 1800 others. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attack, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attack, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"48","03/11/2004: At 7:41 am local time, two bombs exploded in the fourth and fifth carriages of a train at El Pozo station in Madrid, Spain. The attack was a part of a series of ten bombs that exploded on trains on Madrid's commuter line during the morning rush hour, killing 191 people and wounding more than 1800 others. The attack, carried out by Islamic extremists who detonated backpack bombs with cell phones, was the deadliest of the four train attacks, killing at least 70 people and wounding many more. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attack, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attack, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"49","03/11/2004: At 7:42 am local time, a bomb exploded on the fourth carriage of a train passing through the Santa Eugenia station in Madrid, Spain. At least 17 people were killed and many more were injured. The bombs were placed in backpacks by Islamic extremists and detonated by cell phones. The attack was a part of a series of ten bombs that exploded on trains on Madrid's commuter line during the morning rush hour, killing 191 people and wounding more than 1800 others. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attack, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attack, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"50","03/11/2004: Police carried out two controlled explosions of bombs found in backpacks at the Atocha train station in Madrid, Spain. Authorities believed that the two bombs were to be part of a series of bombs that exploded on trains on Madrid's commuter line during the morning rush hour, which collectively killed 191 people and wounded more than 1800 others. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attacks, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attacks, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"51","03/11/2004: Police carried out a controlled explosion of a bomb found in a backpack at El Pozo train station in Madrid, Spain. Authorities believed that the bomb was to be a part of a series of explosions on trains on Madrid's commuter line during the morning rush hour, which collectively killed 191 people and wounded more than 1800 others. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attacks, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attacks, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"52","03/11/2004: At 7:39 am local time, four bombs exploded in a train about 500 meters away from the Atocha train station in Madrid, Spain, occurring almost simultaneously as another attack at the train station. The bombs, placed by Islamic extremists in backpacks and detonated by cell phones, exploded in the first, fourth and sixth carriages of the train. At least 59 people were killed and many more were injured. The attack was a part of a series of ten bombs that exploded on trains on Madrid's commuter line during the morning rush hour, killing 191 people and wounding more than 1800 others. Police initially accused the Basque separatist group Euskadi ta Askatasuna (ETA) of the attack, which occurred three days before Spain's general election, but Islamic extremists were soon found to be the perpetrators. Abu Hafs al-Masri Brigades, a group said to be associated with Al-Qaida, claimed responsibility for the attack, stating that it was retribution for Spain's cooperation with the United States in the Iraq War. In October 2007, twenty-one suspects were convicted and seven others were acquitted of charges related to the attacks. In July 2008, four of the convictions and one of the acquittals were reversed. Court proceedings indicate that Islamist extremists coordinated by Al-Qaida were responsible for the attacks, but it is unclear if the claim of responsibility from Abu Hafs al-Masri Brigades is valid."
"53","03/24/2004: Militants with suspected ties to al-Qaida launched rockets into the center of Peshawar, Pakistan. Two people were wounded in the attacks."
"54","05/01/2004: Four assailants attacked Swiss engineering firm ABB Lummus Global in Yanbu' al Bahr, Saudi Arabia, killing six Western workers and a Saudi worker and injuring 25 others. A police chase ensued and suspects targeted Western businesses with weapons fire. Three of the four perpetrators were killed by Saudi security forces. The fourth assailant was sentenced to death in Saudi Arabia in May 2016. There were no claims of responsibility reported, but sources identify the assailants as al Qaida operatives."
"55","05/29/2004: Islamic militants attacked oil company compounds in Al-Khubar, Saudi Arabia, killing 22 civilians of various nationalities and wounding at least 25 others during the incident. The perpetrators held about 50 hostages for 22 hours until the Saudi security forces attacked and freed the hostages. An emailed statement signed by Al-Qaida in the Arabian Penninsula (AQAP) claimed responsibility for the attack, which reportedly targeted facilities affiliated to the U.S. occupation company Halliburton."
"56","06/04/2004: Al-Qaida attackers riding in vehicles drove close to Daimir checkpoint in North Waziristan (Pakistan) and lobbed grenades at security personnel injuring three of them."
"57","06/10/2004: A fierce gun battle between Pakistani security forces and Al-Qaida-linked fighters near the Afghan border left at least 24 people dead. There were no reports of injuries from the attack."
"58","06/13/2004: Suspected militants killed an American in the Saudi capital, shooting him in the back as he parked in his home garage. A purported Al-Qaida statement posted on an Islamic web site claimed the terror group had killed one American and kidnapped another in Riyadh. The U.S. Embassy identified the dead man as Kenneth Scroggs. There were no other injuries in the attack."
"59","06/18/2004: Islamic radicals beheaded an American engineer, Paul Johnson Jr., held hostage in Saudi Arabia and then posted photographs of the man's severed head and bloodied corpse on a Web site. Al-Qaida in the Arabian Penninsula (AQAP) threatened to kill Johnson unless the Saudi government freed imprisoned Islamic militants. Saudi officials refused, insisting that they would not negotiate with terrorists."
"60","08/26/2004: One Pakistani soldier was killed and six others injured when their convoy passed over a land mine in the village of Tiarza near Pakistan’s border with Afghanistan. Pakistan authorities believed that the land mine was detonated via remote control. They also suspected that Al-Qaida members were behind the incident, but no group claimed responsibility for the attack."
"61","08/28/2004: Two Pakistani Frontier Constabulary soldiers were killed and five were injured when rockets, which were believed to have been fired by Al-Qaida militants, ripped through their living quarters at Scouts Camp in Wana near the Afghan border. No group claimed responsibility for the attack."
"62","10/24/2004: In Iraq, nearly 50 police recruits were ambushed and executed on a remote stretch of road outside the town of Mandali in eastern Iraq. The group of former al-Qaida front man in Iraq, Abu Mus'ab al-Zarqawi, claimed responsibility for the attack but the claim could not be verified."
"63","10/25/2004: A car bomb struck an Australian military convoy in Baghdad, Iraq, killing three Iraqi civilians and wounding nine people, including three Australian soldiers who suffered minor injuries. Al-Qaida in Iraq and the Islamic Army of Iraq both claimed responsibility for this attack on postings to websites. Neither claim was verified."
"64","10/27/2004: Shosei Koda, a 24-year-old Japanese traveler, was kidnapped and subsequently murdered by militants associated with former Jama'at al-Tawhid wa al-Jihad (JTJ) chief Abu Mus'ab al-Zarqawi. Koda's body was found in Baghdad."
"65","12/03/2004: Approximately sixty Jama'at al-Tawhid wa al-Jihad (JTJ) operatives equipped with automatic weapons and rocket propelled grenades stomed a police station in Baghdad, Iraq. There were 13 fatalities and an unknown number of injuries. Responsibility for the incident was posted on a website."
"66","12/06/2004: Gunmen belonging to Al-Qaida in the Arabian Penninsula (AQAP) stormed the U.S. Consulate in Jedda, Saudi Arabia, triggering a bloody four-hour siege that left nine dead. One American was slightly injured in the assault. The consulate, located on the beach in Jeddah, was infiltrated when the attackers hid behind a moving vehicle that was entering through the front gates."
"67","12/14/2004: In one of two possibly related incidents, a bomb blast occurred at a National Guard Recruiting center located meters away from a Green Zone entrance near the western Baghdad suburb of Harthiya. At least one person was killed and 12 were wounded in the attack. hit the U.S.-controlled Green Zone in Iraq. Responsibility was claimed by Jama'at al-Tawhid wa al-Jihad (JTJ) on a website."
"68","12/20/2004: Al-Qaida terrorists set on fire the major pipeline hub southwest of Kirkuk near Fatha. The hub consisted of pipelines leading to the Turkish Mediterranean port of Ceyhan as well as to domestic depots. The attack followed an Osama bin Ladin website statement calling for his supporters to sabotage oil facilities in Iraq and elsewhere in the Persian Gulf."
"69","12/23/2004: A remote-controlled bomb, suspected to have been placed by al-Qaida outside the home of tribal elder Sher Ghar, detonated, killing his son, and injuring another family member in Makin, Pakistan."
"70","12/29/2004: Al-Qaida militants launched coordinated car bombings and battled security forces in the Saudi capital of Riyadh. A car bomb detonated near the Interior Ministry in central Riyadh during the attack. After the car bomb, explosions resulted when suicide attackers tried to destroy a nearby troop recruitment center. The attacks killed eight people."
"71","01/04/2005: Pro-US, Baghdad Governor Ali al-Haidari was killed in a drive-by shooting on a road between the western districts of Hurriyah and Adil in Iraq. One of al-Haidari’s bodyguards was killed in the attack as well. An Al-Qaida linked group calling itself Jihad in the Land of Two Rivers, led by Abu Musab al-Zarqawi, claimed responsibility for the assassination of Baghdad's governor, via a statement and a video posted on the Internet."
"72","01/10/2005: Members of Abu Musab al-Zarqawi’s group, al-Tawhid wa al-Jihad, claimed responsibility for the assassination of Deputy Police Chief Amer Naief and his son who was also a policeman. Naief and his son were gunned down as they left their home in Baghdad’s Dora neighborhood."
"73","01/11/2005: A suicide car bomber attacked Iraqi Police Headquarters in Tikrit. Seven policemen died and eight others were injured in the explosion. The car exploded as the perpetrator attempted to drive the vehicle past a second security checkpoint. Security personnel shot at the vehicle just before it exploded. An Abu Musab al-Zarqawi led group claimed responsibility for the suicide bombing."
"74","01/20/2005: Three members of the Al-Qaida Organization of Holy War in Iraq bombed the British controlled Shaibah logistics camp in Basra. The suicide bombers killed wounded nine British soldiers along with several Iraqi security personnel. Abu Musab al-Zarqawi claimed responsibility for the attack via an internet video."
"75","01/21/2005: A suicide car bomber blew himself up at a Shi’i wedding ceremony in Usifia City, Iraq. 11 people were killed and 23 others were injured in the explosion. Although no group claimed responsibility for the bombing, local people suspected that Abu Musab Al-Zarqawi’s group may have been responsible for the attack."
"76","02/04/2005: Unidentified gunmen kidnapped Italian journalist, Guiliana Sgrena, a reporter for Il Manifesto Daily near Baghdad University in Baghdad, Iraq when a mini-bus blocked her vehicle. The perpetrators abducted Sgrena choosing to release her interpreter and driver. Sgrena was released on March 4, 2005 after having been in captivity for a month."
"77","02/07/2005: A suicide bomber targeted a group of Iraqi policemen standing outside the Jumhouri Teaching Hospital in Mosul, killing 12 officers guarding the facility. Seven other people were wounded in the bombing as well. Abu Musab al-Zarqawi claimed responsibility for the attack on behalf of Al-Qaida in Iraq in a statement carried on an Islamic website."
"78","02/08/2005: A suicide bomber belonging to al-Qaida in Iraq targeted a group of recruits standing in line waiting to enlist in the Iraqi Army in Baghdad, Iraq. The explosion killed 21 people and wounded 27 others."
"79","02/12/2005: An unidentified suicide car bomber targeted a hospital and local government buildings in Musayyib, Iraq killing 18 people and wounding 25 others. Three policemen were killed and another three were injured in the bombing. The vehicle blew up outside of the blast walls of the complex, minimizing damage to the buildings."
"80","02/19/2005: An unidentified suicide car bomber targeted the Iraqi Army building in Baquba, Iraq killing four people including three civilians. Al-Qaida in Iraq claimed responsibility for the bombing via an internet post."
"81","03/02/2005: Two explosions rocked Baghdad, Iraq. The second targeted a bridge connecting the center of Baghdad with A-Dawrah neighborhood and other areas across the Tigris River. The suicide bomber drove a vehicle into an Iraqi Military checkpoint killing at least seven soldiers and recruits. No group claimed responsibility for the attack."
"82","03/03/2005: Four members of Abu Musab al-Zarqawi’s al-Tawhid wa al-Jihad group attempted to assassinate Iraqi Interior Minister, Falah al-Naqib, when they detonated two car bombs just outside the Iraqi Interior Ministry building in Baghdad. Although the four suicide bombers failed to injure al-Naqib, they killed five policemen and injured seven other officials. Zarqawi claimed responsibility for the bombings via an Islamic website."
"83","03/07/2005: A suicide bomber belonging to Abu Musab al-Zarqawi’s group, al-Tawhid wa al-Jihad, blew himself up in front of a house belonging to an Iraqi Army officer in Balad, Iraq. 15 people, including two Iraqi soldiers, were killed and another 23 were injured in the explosion. Zarqawi claimed responsibility for the attack."
"84","03/07/2005: Members of Abu Musab al-Zarqawi’s group, al-Tawhid wa al-Jihad, attacked Iraqi soldiers and police in the town of Baqubah. The perpetrators used mortars, land mines and one suicide bomb in their attack. Zarqawi claimed responsibility for the coordinated strike."
"85","03/14/2005: A car bomb exploded near the Kirkuk office of the Kurdistan Democratic Party in Iraq. The explosion did not cause any casualties or damage. The Tawhid and Jihad group claimed responsibility for the attack."
"86","03/20/2005: A suicide bomber entered the Mosul, Iraq, police headquarters building using a fake identification and detonated his explosives killing of the head of the city’s anti-corruption department, Walid Kashmoula. Two other people were killed in the attack and two wounded. Al Qaeda in Iraq claimed responsibility for the attack."
